timestamp,node_id,current_A,voltage_V,transformer_temp_C,is_fault_window
2026-08-08T13:52:00+05:30,SS1,51.59,228.2,53.3,false
2026-08-08T13:52:30+05:30,SS1,45.35,233.2,58.1,false
2026-08-08T13:53:00+05:30,SS1,55.38,228.6,55.1,false
2026-08-08T13:53:30+05:30,SS1,42.45,229.5,56.1,false
2026-08-08T13:54:00+05:30,SS1,42.4,229.4,57.8,false
2026-08-08T13:54:30+05:30,SS1,50.17,229.5,57.1,false
2026-08-08T13:55:00+05:30,SS1,54.14,228.0,59.7,false
2026-08-08T13:55:30+05:30,SS1,52.47,230.4,51.9,false
2026-08-08T13:56:00+05:30,SS1,56.36,230.4,51.1,false
2026-08-08T13:56:30+05:30,SS1,43.45,233.9,57.2,false
2026-08-08T13:57:00+05:30,SS1,54.11,233.1,56.4,false
2026-08-08T13:57:30+05:30,SS1,56.6,230.6,56.6,false
2026-08-08T13:58:00+05:30,SS1,54.44,232.3,60.3,false
2026-08-08T13:58:30+05:30,SS1,50.66,232.9,50.5,false
2026-08-08T13:59:00+05:30,SS1,45.42,230.0,51.0,false
2026-08-08T13:59:30+05:30,SS1,45.49,228.7,53.3,false
2026-08-08T14:00:00+05:30,SS1,51.54,230.6,54.4,false
2026-08-08T14:00:30+05:30,SS1,45.14,229.9,61.2,false
2026-08-08T14:01:00+05:30,SS1,51.72,232.3,52.1,false
2026-08-08T14:01:30+05:30,SS1,52.94,229.1,54.6,false
2026-08-08T14:02:00+05:30,SS1,56.84,232.5,56.7,false
2026-08-08T14:02:30+05:30,SS1,52.27,233.9,59.3,false
2026-08-08T14:03:00+05:30,SS1,45.44,228.2,53.8,false
2026-08-08T14:03:30+05:30,SS1,46.02,229.5,61.3,false
2026-08-08T14:04:00+05:30,SS1,55.15,230.2,57.9,false
2026-08-08T14:04:30+05:30,SS1,47.93,234.4,55.5,false
2026-08-08T14:05:00+05:30,SS1,45.97,229.7,56.7,false
2026-08-08T14:05:30+05:30,SS1,45.94,232.1,60.8,false
2026-08-08T14:06:00+05:30,SS1,47.99,229.5,62.0,false
2026-08-08T14:06:30+05:30,SS1,49.64,228.6,50.6,false
2026-08-08T14:07:00+05:30,SS1,43.64,232.4,59.5,false
2026-08-08T14:07:30+05:30,SS1,48.33,228.4,54.6,false
2026-08-08T14:08:00+05:30,SS1,56.94,231.7,61.7,false
2026-08-08T14:08:30+05:30,SS1,54.91,228.1,58.6,false
2026-08-08T14:09:00+05:30,SS1,52.23,231.8,53.2,false
2026-08-08T14:09:30+05:30,SS1,51.61,228.8,55.2,false
2026-08-08T14:10:00+05:30,SS1,48.81,234.7,60.5,false
2026-08-08T14:10:30+05:30,SS1,45.95,231.5,52.1,false
2026-08-08T14:11:00+05:30,SS1,55.69,234.1,53.6,false
2026-08-08T14:11:30+05:30,SS1,51.58,232.3,51.8,false
2026-08-08T14:12:00+05:30,SS1,2.87,189.8,89.8,true
2026-08-08T14:12:30+05:30,SS1,2.54,172.0,81.2,true
2026-08-08T14:13:00+05:30,SS1,1.83,202.7,91.7,true
2026-08-08T14:13:30+05:30,SS1,2.96,182.1,76.1,true
2026-08-08T14:14:00+05:30,SS1,3.03,203.2,76.6,true
2026-08-08T14:14:30+05:30,SS1,2.48,174.3,89.5,true
2026-08-08T14:15:00+05:30,SS1,2.87,176.2,84.0,true
2026-08-08T14:15:30+05:30,SS1,2.57,180.7,91.6,true
2026-08-08T14:16:00+05:30,SS1,2.39,179.0,85.2,true
2026-08-08T14:16:30+05:30,SS1,2.82,178.6,80.9,true
2026-08-08T14:17:00+05:30,SS1,3.19,193.4,83.3,true
2026-08-08T14:17:30+05:30,SS1,2.52,176.0,79.3,true
2026-08-08T14:18:00+05:30,SS1,2.27,191.4,79.4,true
2026-08-08T14:18:30+05:30,SS1,2.11,174.3,87.0,true
2026-08-08T14:19:00+05:30,SS1,2.12,201.9,91.3,true
2026-08-08T14:19:30+05:30,SS1,1.9,179.9,87.7,true
2026-08-08T14:20:00+05:30,SS1,2.1,176.4,92.8,true
2026-08-08T14:20:30+05:30,SS1,2.6,187.6,89.9,true
2026-08-08T14:21:00+05:30,SS1,2.93,178.3,76.8,true
2026-08-08T14:21:30+05:30,SS1,2.4,186.0,83.9,true
