timestamp,location,wind_speed_kmh,condition
2026-08-08T13:00:00+05:30,"Mulshi (18.5020, 73.4830)",18.2,Normal
2026-08-08T13:10:00+05:30,"Mulshi (18.5020, 73.4830)",17.4,Normal
2026-08-08T13:20:00+05:30,"Mulshi (18.5020, 73.4830)",21.8,Normal
2026-08-08T13:30:00+05:30,"Mulshi (18.5020, 73.4830)",9.4,Normal
2026-08-08T13:40:00+05:30,"Mulshi (18.5020, 73.4830)",13.6,Normal
2026-08-08T13:50:00+05:30,"Mulshi (18.5020, 73.4830)",12.8,Normal
2026-08-08T14:00:00+05:30,"Mulshi (18.5020, 73.4830)",20.1,Normal
2026-08-08T14:10:00+05:30,"Mulshi (18.5020, 73.4830)",11.5,Normal
2026-08-08T14:20:00+05:30,"Mulshi (18.5020, 73.4830)",44.3,High Wind / Gusts
2026-08-08T14:30:00+05:30,"Mulshi (18.5020, 73.4830)",47.4,High Wind / Gusts
2026-08-08T14:40:00+05:30,"Mulshi (18.5020, 73.4830)",13.9,Normal
2026-08-08T14:50:00+05:30,"Mulshi (18.5020, 73.4830)",11.9,Normal
2026-08-08T15:00:00+05:30,"Mulshi (18.5020, 73.4830)",11.5,Normal
2026-08-08T15:10:00+05:30,"Mulshi (18.5020, 73.4830)",20.9,Normal
